parcel,address,2021_land,2021_building,2021_total,2020_land,2020_building,2020_total,lat,lng
341 A024001,85 Maggie Ln,72500.0,459500.0,532000.0,72500.0,263700.0,336200.0,43.691429,-70.297581
342 A011001,61 Maggie Ln,75200.0,317400.0,392600.0,75200.0,166300.0,241500.0,43.691445,-70.296564
342 A012001,65 Maggie Ln,80800.0,315900.0,396700.0,80800.0,165500.0,246300.0,43.691624,-70.296661
342 A013001,69 Maggie Ln,74100.0,335100.0,409200.0,74100.0,186700.0,260800.0,43.691854,-70.296703
342 A014001,33 Maggie Ln,404900.0,1376000.0,1780900.0,210000.0,645500.0,855500.0,43.69131,-70.295084
344 B002001,47 Maplewood St,64500.0,359300.0,423800.0,64500.0,180600.0,245100.0,43.697682,-70.289034
344 B003001,41 Maplewood St,72000.0,263000.0,335000.0,72800.0,138500.0,211300.0,43.697748,-70.288871
344 C003001,11 Maplewood St,67500.0,427000.0,494500.0,67500.0,134900.0,202400.0,43.6983,-70.287566
347 C038001,22 Mugwhy Ln,58300.0,233200.0,291500.0,47100.0,188200.0,235300.0,43.702424,-70.291911
347 C038002,26 Mugwhy Ln,58300.0,233200.0,291500.0,47100.0,188200.0,235300.0,43.702346,-70.292077
347 C038003,36 Mugwhy Ln,59160.0,236640.0,295800.0,47100.0,188200.0,235300.0,43.702515,-70.29262
347 C038004,40 Mugwhy Ln,59160.0,236640.0,295800.0,47100.0,188200.0,235300.0,43.702617,-70.292734
347 C038005,44 Mugwhy Ln,59160.0,236640.0,295800.0,47100.0,188200.0,235300.0,43.702751,-70.292849
347 C038006,46 Mugwhy Ln,59160.0,236640.0,295800.0,47100.0,188200.0,235300.0,43.702867,-70.292963
347 C038007,50 Mugwhy Ln,59160.0,236640.0,295800.0,47100.0,188200.0,235300.0,43.70311,-70.292968
347 C038008,52 Mugwhy Ln,59160.0,236640.0,295800.0,47100.0,188200.0,235300.0,43.703162,-70.292777
347 C038009,56 Mugwhy Ln,59160.0,236640.0,295800.0,47100.0,188200.0,235300.0,43.703276,-70.2926
347 C038010,58 Mugwhy Ln,59160.0,236640.0,295800.0,47100.0,188200.0,235300.0,43.703314,-70.292396
347 C038011,62 Mugwhy Ln,58300.0,233200.0,291500.0,47100.0,188200.0,235300.0,43.703204,-70.292213
347 C038012,64 Mugwhy Ln,58300.0,233200.0,291500.0,47100.0,188200.0,235300.0,43.703039,-70.292086
347 C038013,68 Mugwhy Ln,58300.0,233200.0,291500.0,47100.0,188200.0,235300.0,43.702821,-70.292217
347 C038014,70 Mugwhy Ln,58300.0,233200.0,291500.0,47100.0,188200.0,235300.0,43.702734,-70.292371
377 E019001,11 Meadow Ln,78500.0,188400.0,266900.0,83200.0,89900.0,173100.0,43.707732,-70.280674
377 E031001,12 Meadow Ln,79500.0,499800.0,579300.0,84300.0,233500.0,317800.0,43.707326,-70.28092
377 E032001,18 Meadow Ln,83600.0,339900.0,423500.0,90000.0,149600.0,239600.0,43.70743,-70.281171
377 E033001,26 Meadow Ln,84000.0,351700.0,435700.0,90700.0,153300.0,244000.0,43.707471,-70.281507
377 E034001,30 Meadow Ln,91300.0,318900.0,410200.0,98000.0,147100.0,245100.0,43.707567,-70.282019
377 E035001,34 Meadow Ln,83300.0,319900.0,403200.0,89500.0,170700.0,260200.0,43.707918,-70.281783
377 E036001,31 Meadow Ln,93200.0,275300.0,368500.0,98900.0,126100.0,225000.0,43.708088,-70.28151
377 E037001,27 Meadow Ln,81100.0,332900.0,414000.0,86100.0,146600.0,232700.0,43.707998,-70.281122
377 E038001,17 Meadow Ln,81100.0,305400.0,386500.0,86100.0,141500.0,227600.0,43.70784,-70.280884
378 A007001,15 Martin Rd,83400.0,468400.0,551800.0,89700.0,166100.0,255800.0,43.709141,-70.285869
378 A039001,25 Martin Rd,83400.0,391300.0,474700.0,89700.0,136300.0,226000.0,43.709423,-70.286066
379 D001001,5 Melody Ln,82700.0,305400.0,388100.0,88700.0,145800.0,234500.0,43.709151,-70.289093
379 D002001,15 Melody Ln,80900.0,287100.0,368000.0,85900.0,109200.0,195100.0,43.709285,-70.288707
379 D003001,21 Melody Ln,80900.0,393700.0,474600.0,85900.0,160100.0,246000.0,43.709381,-70.288357
379 D004001,37 Melody Ln,80900.0,360400.0,441300.0,85900.0,161200.0,247100.0,43.709592,-70.287657
379 D005001,31 Melody Ln,80900.0,253000.0,333900.0,85900.0,98500.0,184400.0,43.709491,-70.288008
379 D006001,47 Melody Ln,80900.0,331200.0,412100.0,85900.0,139800.0,225700.0,43.709693,-70.28728
379 E001001,10 Melody Ln,81300.0,456000.0,537300.0,86500.0,233500.0,320000.0,43.709553,-70.289184
379 E002001,18 Melody Ln,82100.0,373200.0,455300.0,87700.0,159900.0,247600.0,43.709669,-70.288848
379 E003001,26 Melody Ln,82100.0,397400.0,479500.0,87700.0,194300.0,282000.0,43.709796,-70.288438
379 E004001,34 Melody Ln,82100.0,393600.0,475700.0,87700.0,207300.0,295000.0,43.709915,-70.287999
379 E005001,46 Melody Ln,82100.0,306200.0,388300.0,87700.0,154000.0,241700.0,43.710042,-70.287589
381 B001001,55 Melody Ln,82100.0,317900.0,400000.0,87700.0,156600.0,244300.0,43.709796,-70.286924
381 C021001,56 Melody Ln,82700.0,302100.0,384800.0,88600.0,107500.0,196100.0,43.710165,-70.287161
381 E004001,35 Martin Rd,83500.0,479400.0,562900.0,89800.0,188300.0,278100.0,43.709707,-70.286202
381 E005001,55 Martin Rd,86100.0,391200.0,477300.0,93900.0,158300.0,252200.0,43.71034,-70.286599
381 E006001,43 Martin Rd,86100.0,313100.0,399200.0,93800.0,129100.0,222900.0,43.709956,-70.286332
384 A001001,34 Morningstar Ln,119200.0,415200.0,534400.0,87400.0,242000.0,329400.0,43.717207,-70.297238
384 A019001,40 Morningstar Ln,116000.0,471500.0,587500.0,79600.0,240500.0,320100.0,43.717205,-70.29758
385 C011001,7 Morningstar Ln,113800.0,420800.0,534600.0,74600.0,222800.0,297400.0,43.718294,-70.296568
385A A032001,15 Morningstar Ln,113700.0,558000.0,671700.0,74200.0,327300.0,401500.0,43.718008,-70.296777
385A A033001,33 Morningstar Ln,113300.0,486000.0,599300.0,73400.0,265400.0,338800.0,43.717789,-70.297045
385A A035001,56 Morningstar Ln,114900.0,476500.0,591400.0,77100.0,30000.0,107100.0,43.718121,-70.297568
385A A037001,48 Morningstar Ln,121600.0,963400.0,1085000.0,92900.0,565000.0,657900.0,43.717754,-70.298137
385A A038001,44 Morningstar Ln,116100.0,604000.0,720100.0,80000.0,331400.0,411400.0,43.71745,-70.297913
400 D003001,1 Merrymeeting Dr,55120.0,220480.0,275600.0,36100.0,144300.0,180400.0,43.702395,-70.282478
400 D003002,2 Merrymeeting Dr,59500.0,238000.0,297500.0,38900.0,155700.0,194600.0,43.702332,-70.28252
400 D003003,3 Merrymeeting Dr,63980.0,255920.0,319900.0,41500.0,165900.0,207400.0,43.702254,-70.282587
400 D003004,4 Merrymeeting Dr,55020.0,220080.0,275100.0,36700.0,146900.0,183600.0,43.702182,-70.282641
400 D003005,5 Merrymeeting Dr,55540.0,222160.0,277700.0,37100.0,148200.0,185300.0,43.702146,-70.282988
400 D003006,6 Merrymeeting Dr,61020.0,244080.0,305100.0,39000.0,156100.0,195100.0,43.702177,-70.283075
400 D003007,7 Merrymeeting Dr,63980.0,255920.0,319900.0,41500.0,165900.0,207400.0,43.702199,-70.283157
400 D003008,8 Merrymeeting Dr,56660.0,226640.0,283300.0,37100.0,148400.0,185500.0,43.702355,-70.283272
400 D003009,9 Merrymeeting Dr,46980.0,187920.0,234900.0,41500.0,165900.0,207400.0,43.702426,-70.283329
400 D003010,10 Merrymeeting Dr,63980.0,255920.0,319900.0,41500.0,165900.0,207400.0,43.702488,-70.283399
400 D003011,11 Merrymeeting Dr,63460.0,253840.0,317300.0,39500.0,157900.0,197400.0,43.702677,-70.283465
400 D003012,12 Merrymeeting Dr,48880.0,195520.0,244400.0,41200.0,164800.0,206000.0,43.702775,-70.283547
400 D003013,13 Merrymeeting Dr,54960.0,219840.0,274800.0,37200.0,148800.0,186000.0,43.702833,-70.283611
400 D003014,14 Merrymeeting Dr,61680.0,246720.0,308400.0,40400.0,161600.0,202000.0,43.702995,-70.28362
400 D003015,15 Merrymeeting Dr,57200.0,228800.0,286000.0,37900.0,151700.0,189600.0,43.703045,-70.283566
400 D003016,16 Merrymeeting Dr,52740.0,210960.0,263700.0,35900.0,143700.0,179600.0,43.703108,-70.283524
400 D003017,17 Merrymeeting Dr,46300.0,185200.0,231500.0,34900.0,139600.0,174500.0,43.703206,-70.283259
400 D003018,18 Merrymeeting Dr,59380.0,237520.0,296900.0,37900.0,151700.0,189600.0,43.703243,-70.283173
400 D003019,19 Merrymeeting Dr,61040.0,244160.0,305200.0,40400.0,161600.0,202000.0,43.703294,-70.283037
